incident_id,timestamp,resource,symptom,action_taken,success
INC-001,2026-06-01T10:00:00Z,pod/api-gateway,OOMKilled,restart_pod,1
INC-002,2026-06-02T14:30:00Z,pod/api-gateway,OOMKilled,restart_pod,1
INC-003,2026-06-03T09:15:00Z,pod/api-gateway,OOMKilled,restart_pod,1
INC-004,2026-06-05T11:20:00Z,pod/api-gateway,OOMKilled,restart_pod,1
INC-005,2026-06-07T16:45:00Z,pod/api-gateway,OOMKilled,restart_pod,1
INC-006,2026-06-08T08:10:00Z,pod/api-gateway,OOMKilled,restart_pod,1
INC-007,2026-06-10T12:00:00Z,pod/api-gateway,OOMKilled,restart_pod,1
INC-008,2026-06-12T15:30:00Z,pod/api-gateway,OOMKilled,restart_pod,1
INC-009,2026-06-15T07:20:00Z,pod/api-gateway,OOMKilled,restart_pod,1
INC-010,2026-06-16T18:40:00Z,pod/api-gateway,OOMKilled,restart_pod,1
INC-011,2026-06-18T10:15:00Z,pod/cache,flapping,suppress_alert,1
INC-012,2026-06-18T10:20:00Z,pod/cache,flapping,suppress_alert,1
INC-013,2026-06-19T11:00:00Z,pod/cache,flapping,suppress_alert,1
INC-014,2026-06-19T11:05:00Z,pod/cache,flapping,suppress_alert,1
INC-015,2026-06-20T09:30:00Z,pod/cache,flapping,suppress_alert,1
INC-016,2026-06-21T14:00:00Z,pod/api-gateway,OOMKilled,restart_pod,1
INC-017,2026-06-22T16:20:00Z,pod/api-gateway,OOMKilled,restart_pod,1
INC-018,2026-06-25T11:10:00Z,pod/api-gateway,OOMKilled,restart_pod,1
INC-019,2026-06-27T08:45:00Z,pod/api-gateway,OOMKilled,restart_pod,1
INC-020,2026-06-28T13:30:00Z,pod/api-gateway,OOMKilled,restart_pod,1
INC-021,2026-06-30T10:00:00Z,pod/api-gateway,OOMKilled,restart_pod,1
INC-022,2026-07-02T15:15:00Z,pod/api-gateway,OOMKilled,restart_pod,1
INC-023,2026-07-05T09:40:00Z,pod/api-gateway,OOMKilled,restart_pod,1
INC-024,2026-07-07T11:20:00Z,pod/api-gateway,OOMKilled,restart_pod,1
INC-025,2026-07-08T14:00:00Z,pod/api-gateway,OOMKilled,restart_pod,1
